"path";"path_label";"menu_path";"module_name";"id";"role";"parentid";"type";"sequence";"module";"label";"newwindow";"dataurl";"showicon";"icon";"sizeicon";"hotkey";"filters";"source"
"220,342";"003-Claim Management > 012-Claims Onboarding - Invoices";"Claim Management > Claims Onboarding - Invoices";"Claimed Invoices";"342";"46";"220";"0";"12";"152";"Claims Onboarding - Invoices";"0";"null";"0";"yfm-Reports";"null";"";"159,222,241";"0"
"361";"004-Outside Cases";"Outside Cases";"OutsideCases";"361";"0";"0";"0";"4";"182";"Outside Cases";"0";"null";"0";"mdi mdi-briefcase-remove-outline";"null";"";"null";"0"
"362";"004-Outside Cases";"Outside Cases";"OutsideCases";"362";"46";"0";"0";"4";"182";"Outside Cases";"0";"null";"0";"mdi mdi-briefcase-remove-outline";"null";"";"null";"0"
"175";"005-Litigation";"Litigation";"null";"175";"0";"0";"2";"5";"null";"Litigation";"0";"null";"0";"fas fa-balance-scale";"null";"null";"";"0"
"221";"005-Litigation";"Litigation";"null";"221";"46";"0";"2";"5";"null";"Litigation";"0";"null";"0";"fas fa-balance-scale";"null";"null";"";"0"
"397";"005-Litigation";"Litigation";"null";"397";"56";"0";"2";"5";"null";"Litigation";"0";"null";"0";"fas fa-balance-scale";"null";"null";"";"0"
"175,204";"005-Litigation > 000-Cases";"Litigation > Cases";"Cases";"204";"0";"175";"0";"0";"159";"";"0";"null";"0";"fas fa-boxes";"null";"";"";"0"
"221,343";"005-Litigation > 000-Cases";"Litigation > Cases";"Cases";"343";"46";"221";"0";"0";"159";"";"0";"null";"0";"fas fa-boxes";"null";"";"";"0"
"397,434";"005-Litigation > 000-Cases";"Litigation > Cases";"Cases";"434";"56";"397";"0";"0";"159";"";"0";"null";"0";"fas fa-boxes";"null";"";"";"0"
"397,435";"005-Litigation > 001-Similar Cases";"Litigation > Similar Cases";"Similar Cases";"435";"56";"397";"0";"1";"176";"";"0";"null";"0";"fas fa-box";"null";"";"";"0"
"175,458";"005-Litigation > 001-Texas PA Cases";"Litigation > Texas PA Cases";"Texas Cases";"458";"0";"175";"0";"1";"200";"Texas PA Cases";"0";"null";"0";"fas fa-boxes";"null";"";"";"0"
"221,459";"005-Litigation > 001-Texas PA Cases";"Litigation > Texas PA Cases";"Texas Cases";"459";"46";"221";"0";"1";"200";"Texas PA Cases";"0";"null";"0";"fas fa-boxes";"null";"";"";"0"
"397,436";"005-Litigation > 002-Collections";"Litigation > Collections";"Collections";"436";"56";"397";"0";"2";"170";"Collections";"0";"null";"0";"yfm-PaymentsOut";"null";"";"";"0"
"175,205";"005-Litigation > 002-Similar Cases";"Litigation > Similar Cases";"Similar Cases";"205";"0";"175";"0";"2";"176";"";"0";"null";"0";"fas fa-box";"null";"";"";"0"
"221,344";"005-Litigation > 002-Similar Cases";"Litigation > Similar Cases";"Similar Cases";"344";"46";"221";"0";"2";"176";"";"0";"null";"0";"fas fa-box";"null";"";"";"0"
"175,183";"005-Litigation > 003-Collections";"Litigation > Collections";"Collections";"183";"0";"175";"0";"3";"170";"Collections";"0";"null";"0";"yfm-PaymentsOut";"null";"";"";"0"
"221,345";"005-Litigation > 003-Collections";"Litigation > Collections";"Collections";"345";"46";"221";"0";"3";"170";"Collections";"0";"null";"0";"yfm-PaymentsOut";"null";"";"";"0"
"397,437";"005-Litigation > 003-Partial Settlements";"Litigation > Partial Settlements";"Partial Settlements";"437";"56";"397";"0";"3";"192";"Partial Settlements";"0";"null";"0";"fas fa-star-half-alt";"null";"";"null";"0"
"397,438";"005-Litigation > 004-Law Firms";"Litigation > Law Firms";"Law Firms";"438";"56";"397";"0";"4";"188";"Law Firms";"0";"null";"0";"mdi mdi-warehouse";"null";"";"null";"0"
"175,381";"005-Litigation > 004-Partial Settlements";"Litigation > Partial Settlements";"Partial Settlements";"381";"0";"175";"0";"4";"192";"Partial Settlements";"0";"null";"0";"fas fa-star-half-alt";"null";"";"null";"0"
"221,382";"005-Litigation > 004-Partial Settlements";"Litigation > Partial Settlements";"Partial Settlements";"382";"46";"221";"0";"4";"192";"Partial Settlements";"0";"null";"0";"fas fa-star-half-alt";"null";"";"null";"0"
"397,439";"005-Litigation > 005-Attorneys";"Litigation > Attorneys";"Attorneys";"439";"56";"397";"0";"5";"149";"Attorneys";"0";"null";"0";"fas fa-user-tie";"null";"";"null";"0"
"175,373";"005-Litigation > 005-Law Firms";"Litigation > Law Firms";"Law Firms";"373";"0";"175";"0";"5";"188";"Law Firms";"0";"null";"0";"mdi mdi-warehouse";"null";"";"null";"0"
"221,374";"005-Litigation > 005-Law Firms";"Litigation > Law Firms";"Law Firms";"374";"46";"221";"0";"5";"188";"Law Firms";"0";"null";"0";"mdi mdi-warehouse";"null";"";"null";"0"
"175,185";"005-Litigation > 006-Attorneys";"Litigation > Attorneys";"Attorneys";"185";"0";"175";"0";"6";"149";"Attorneys";"0";"null";"0";"fas fa-user-tie";"null";"";"null";"0"
"221,346";"005-Litigation > 006-Attorneys";"Litigation > Attorneys";"Attorneys";"346";"46";"221";"0";"6";"149";"Attorneys";"0";"null";"0";"fas fa-user-tie";"null";"";"null";"0"
"397,440";"005-Litigation > 006-Courts";"Litigation > Courts";"Courts";"440";"56";"397";"0";"6";"145";"Courts";"0";"null";"0";"fas fa-balance-scale";"null";"";"";"0"
"397,441";"005-Litigation > 007-Counties";"Litigation > Counties";"Counties";"441";"56";"397";"0";"7";"173";"";"0";"null";"0";"yfi-countries";"null";"";"null";"0"
"175,176";"005-Litigation > 007-Courts";"Litigation > Courts";"Courts";"176";"0";"175";"0";"7";"145";"Courts";"0";"null";"0";"fas fa-balance-scale";"null";"";"";"0"
"221,347";"005-Litigation > 007-Courts";"Litigation > Courts";"Courts";"347";"46";"221";"0";"7";"145";"Courts";"0";"null";"0";"fas fa-balance-scale";"null";"";"";"0"
"175,199";"005-Litigation > 008-Counties";"Litigation > Counties";"Counties";"199";"0";"175";"0";"8";"173";"";"0";"null";"0";"yfi-countries";"null";"";"null";"0"
"221,348";"005-Litigation > 008-Counties";"Litigation > Counties";"Counties";"348";"46";"221";"0";"8";"173";"";"0";"null";"0";"yfi-countries";"null";"";"null";"0"
"397,442";"005-Litigation > 008-Judges";"Litigation > Judges";"Judges";"442";"56";"397";"0";"8";"174";"";"0";"null";"0";"mdi mdi-human-queue";"null";"";"null";"0"
"397,443";"005-Litigation > 009-Adjusters";"Litigation > Adjusters";"Adjusters";"443";"56";"397";"0";"9";"175";"";"0";"null";"0";"yfm-Competition";"null";"";"";"0"
"175,201";"005-Litigation > 009-Judges";"Litigation > Judges";"Judges";"201";"0";"175";"0";"9";"174";"";"0";"null";"0";"mdi mdi-human-queue";"null";"";"null";"0"
"221,349";"005-Litigation > 009-Judges";"Litigation > Judges";"Judges";"349";"46";"221";"0";"9";"174";"";"0";"null";"0";"mdi mdi-human-queue";"null";"";"null";"0"
"175,202";"005-Litigation > 010-Adjusters";"Litigation > Adjusters";"Adjusters";"202";"0";"175";"0";"10";"175";"";"0";"null";"0";"yfm-Competition";"null";"";"";"0"
"221,350";"005-Litigation > 010-Adjusters";"Litigation > Adjusters";"Adjusters";"350";"46";"221";"0";"10";"175";"";"0";"null";"0";"yfm-Competition";"null";"";"null";"0"
"397,444";"005-Litigation > 010-Mortgage Companies";"Litigation > Mortgage Companies";"Mortgage Companies";"444";"56";"397";"0";"10";"190";"Mortgage Companies";"0";"null";"0";"fas fa-laptop-house";"null";"";"null";"0"
"397,445";"005-Litigation > 011-Litigation Contacts";"Litigation > Litigation Contacts";"Litigation Contacts";"445";"56";"397";"0";"11";"191";"Litigation Contacts";"0";"null";"0";"mdi mdi-card-account-mail";"null";"";"null";"0"
"175,376";"005-Litigation > 011-Mortgage Companies";"Litigation > Mortgage Companies";"Mortgage Companies";"376";"0";"175";"0";"11";"190";"Mortgage Companies";"0";"null";"0";"fas fa-laptop-house";"null";"";"null";"0"
"221,378";"005-Litigation > 011-Mortgage Companies";"Litigation > Mortgage Companies";"Mortgage Companies";"378";"46";"221";"0";"11";"190";"Mortgage Companies";"0";"null";"0";"fas fa-laptop-house";"null";"";"null";"0"
"175,379";"005-Litigation > 012-Litigation Contacts";"Litigation > Litigation Contacts";"Litigation Contacts";"379";"0";"175";"0";"12";"191";"Litigation Contacts";"0";"null";"0";"mdi mdi-card-account-mail";"null";"";"null";"0"
"221,380";"005-Litigation > 012-Litigation Contacts";"Litigation > Litigation Contacts";"Litigation Contacts";"380";"46";"221";"0";"12";"191";"Litigation Contacts";"0";"null";"0";"mdi mdi-card-account-mail";"null";"";"null";"0"
"175,371";"005-Litigation > 013-HO Onboarding Spreadsheets";"Litigation > HO Onboarding Spreadsheets";"null";"371";"0";"175";"1";"13";"null";"HO Onboarding Spreadsheets";"0";"/index.php?module=DocumentTypes&relatedModule=Documents&view=Detail&recordNumber=DOCTYPE_HO_ONBOARDING_SPREADSHEE&mode=showRelatedList&relationId=744&tab_label=Documents";"0";"fas fa-home";"null";"";"";"0"
"221,372";"005-Litigation > 013-HO Onboarding Spreadsheets";"Litigation > HO Onboarding Spreadsheets";"null";"372";"46";"221";"1";"13";"null";"HO Onboarding Spreadsheets";"0";"/index.php?module=DocumentTypes&relatedModule=Documents&view=Detail&recordNumber=DOCTYPE_HO_ONBOARDING_SPREADSHEE&mode=showRelatedList&relationId=744&tab_label=Documents";"0";"fas fa-home";"null";"";"null";"0"
